object 0	1.0:1.0
129.0 1.00212856609 1.0
49.0 0.962059914068 1.0
181.0 0.0770347553982 1.0
20.0 0.995183071584 1.0
42.0 0.990451018657 1.0
139.0 1.00160223012 1.0
182.0 4.95851435728 1.0
54.0 0.999676619383 1.0
121.0 1.02479496174 1.0
26.0 1.0787953917 1.0
130.0 1.03728823051 1.0
104.0 1.01569283216 1.0
194.0 -0.460630814716 1.0
180.0 -1.69728276661 1.0
29.0 1.00364175199 1.0
92.0 1.10083844488 1.0
152.0 0.993807540956 1.0
35.0 0.961089349353 1.0
141.0 1.01519584658 1.0
0.0 0.986737497979 1.0
137.0 1.00798409207 1.0
118.0 0.968239379223 1.0
64.0 0.997033577182 1.0
144.0 0.962285045991 1.0
132.0 0.979606744935 1.0
object 1	1.0:1.0
134.0 0.983135438417 1.0
32.0 1.07357389888 1.0
110.0 1.05179148247 1.0
166.0 0.379305632304 1.0
0.0 1.02130244315 1.0
12.0 0.941059199802 1.0
181.0 -1.59047605672 1.0
28.0 0.987208395221 1.0
175.0 -0.469361384366 1.0
93.0 1.03611059247 1.0
180.0 -1.9818251985 1.0
84.0 0.971018940774 1.0
77.0 1.02553949111 1.0
158.0 0.995585227192 1.0
151.0 1.01916678708 1.0
2.0 0.998103028582 1.0
100.0 1.03758694683 1.0
104.0 1.0070856122 1.0
89.0 1.00765304717 1.0
object 2	1.0:1.0
5.0 0.977958178521 1.0
72.0 1.00403547853 1.0
178.0 -4.340109015 1.0
79.0 0.983389581026 1.0
136.0 1.00608083823 1.0
45.0 1.01045217258 1.0
107.0 0.986919654845 1.0
33.0 0.940419804409 1.0
164.0 2.88086802128 1.0
31.0 0.915568872655 1.0
149.0 1.01384319666 1.0
17.0 1.0057375178 1.0
155.0 1.01422045399 1.0
40.0 1.01056582149 1.0
188.0 -4.17880333064 1.0
71.0 0.988524364974 1.0
141.0 0.988767304967 1.0
81.0 1.00582222463 1.0
77.0 1.01247996557 1.0
43.0 1.02326039223 1.0
197.0 -6.50533227284 1.0
171.0 0.625040283059 1.0
19.0 1.00665925133 1.0
object 3	1.0:1.0
184.0 5.9623362456 1.0
73.0 0.954257542389 1.0
104.0 0.989253864296 1.0
96.0 0.997176505621 1.0
127.0 1.01596611569 1.0
92.0 0.973876269586 1.0
75.0 1.01550060057 1.0
28.0 0.99356801086 1.0
86.0 1.00252624142 1.0
56.0 0.998092267582 1.0
35.0 1.05675742352 1.0
object 4	1.0:1.0
80.0 1.00173357541 1.0
120.0 1.02768214114 1.0
67.0 0.959209277786 1.0
8.0 1.02236861235 1.0
70.0 1.00774333493 1.0
152.0 0.99486042854 1.0
35.0 1.01370941615 1.0
87.0 0.990035402455 1.0
145.0 1.05666765929 1.0
96.0 1.00933698006 1.0
17.0 1.0149703316 1.0
148.0 0.980788503778 1.0
153.0 0.97919765729 1.0
142.0 1.0433106382 1.0
187.0 -1.15947377488 1.0
106.0 0.999421834176 1.0
127.0 0.986022863821 1.0
156.0 0.983048840456 1.0
24.0 0.990897840668 1.0
object 5	1.0:1.0
37.0 0.975547001754 1.0
154.0 1.01585893323 1.0
153.0 1.0341786188 1.0
41.0 0.925319912878 1.0
98.0 1.05550289809 1.0
60.0 0.977369635896 1.0
87.0 0.98590744145 1.0
19.0 1.00798349446 1.0
5.0 1.04976339686 1.0
85.0 0.96716601668 1.0
43.0 0.991164816011 1.0
129.0 1.03138081098 1.0
181.0 -0.200797419009 1.0
4.0 0.978572311866 1.0
71.0 1.00892506106 1.0
52.0 1.00685274265 1.0
102.0 0.989963154526 1.0
146.0 1.08394233898 1.0
22.0 1.00646343096 1.0
117.0 1.00973075053 1.0
155.0 1.03105699672 1.0
193.0 0.21867686102 1.0
66.0 0.961311062424 1.0
169.0 6.87664441783 1.0
196.0 -1.80603763443 1.0
51.0 0.988587124994 1.0
33.0 1.00582075875 1.0
161.0 2.30107538214 1.0
112.0 1.01228375816 1.0
object 6	1.0:1.0
87.0 1.02101297927 1.0
38.0 1.04173342485 1.0
99.0 1.02253346017 1.0
144.0 1.01947451575 1.0
54.0 1.00093033906 1.0
72.0 1.03934147367 1.0
42.0 0.988441587824 1.0
88.0 1.00306192545 1.0
64.0 1.02238501269 1.0
97.0 0.99235026854 1.0
10.0 0.981652280828 1.0
41.0 1.01276660999 1.0
181.0 2.75379841183 1.0
68.0 1.00464419846 1.0
186.0 -3.614226221 1.0
79.0 1.00148245048 1.0
177.0 -1.2022680825 1.0
21.0 1.01326828419 1.0
150.0 0.998932624306 1.0
89.0 0.988924282566 1.0
148.0 1.06115132775 1.0
4.0 1.00090369485 1.0
56.0 1.00772766539 1.0
2.0 0.955686853289 1.0
140.0 0.993816769205 1.0
121.0 1.01681933317 1.0
91.0 1.02334247978 1.0
71.0 1.02146058405 1.0
101.0 0.919168472198 1.0
object 7	1.0:1.0
61.0 1.0030040423 1.0
164.0 -8.72145613446 1.0
132.0 1.00811820536 1.0
146.0 1.04263857299 1.0
45.0 1.00740292417 1.0
9.0 1.04466671379 1.0
150.0 1.02242932431 1.0
49.0 0.994448864569 1.0
86.0 1.0294566728 1.0
139.0 1.00104907928 1.0
26.0 1.06903080688 1.0
3.0 0.902281734863 1.0
50.0 0.979615825332 1.0
object 8	1.0:1.0
156.0 1.051658798 1.0
100.0 1.04767964151 1.0
142.0 1.00930003519 1.0
84.0 1.08320881435 1.0
143.0 1.01761612057 1.0
108.0 0.973758683925 1.0
147.0 1.06261720509 1.0
111.0 0.991635969349 1.0
155.0 0.980538688176 1.0
43.0 1.10539712665 1.0
117.0 0.970731649016 1.0
49.0 1.00782008585 1.0
160.0 -2.46933304105 1.0
42.0 0.980096642043 1.0
95.0 0.98425792899 1.0
25.0 1.01502997211 1.0
85.0 0.9700535583 1.0
34.0 1.01618536836 1.0
5.0 1.02160334393 1.0
149.0 1.01513642442 1.0
105.0 0.998910485306 1.0
185.0 -1.11587543996 1.0
object 9	1.0:1.0
174.0 1.11267161975 1.0
61.0 1.02210103286 1.0
148.0 1.03022312571 1.0
19.0 1.00633991071 1.0
3.0 1.00415306365 1.0
130.0 1.00245810516 1.0
179.0 0.788317278684 1.0
79.0 0.992572727185 1.0
177.0 0.643694006217 1.0
104.0 1.00992603798 1.0
object 10	1.0:1.0
180.0 -3.67207260644 1.0
85.0 1.06399826228 1.0
137.0 0.952563567637 1.0
64.0 0.986120484941 1.0
62.0 1.0336101681 1.0
175.0 2.69381087213 1.0
189.0 5.36987964688 1.0
121.0 0.969471196961 1.0
31.0 1.02119882511 1.0
53.0 1.03103604036 1.0
15.0 1.02873936788 1.0
140.0 0.969550611355 1.0
169.0 1.32507930576 1.0
43.0 1.00727530831 1.0
128.0 1.00814977192 1.0
1.0 1.01955296057 1.0
77.0 0.99099969286 1.0
133.0 1.00457980038 1.0
160.0 2.02533869968 1.0
161.0 1.8029071329 1.0
17.0 1.01782676105 1.0
159.0 0.953995192202 1.0
63.0 1.01134154453 1.0
45.0 0.9985133528 1.0
34.0 0.969817814034 1.0
83.0 1.10937585363 1.0
136.0 1.01385393927 1.0
object 11	1.0:1.0
36.0 1.01054885771 1.0
52.0 0.97249181949 1.0
18.0 1.01210177294 1.0
44.0 0.985144119913 1.0
16.0 0.984649862605 1.0
184.0 3.6089555983 1.0
63.0 1.00638978728 1.0
154.0 0.957971785858 1.0
143.0 1.01192417296 1.0
17.0 1.01996729478 1.0
190.0 1.13778892025 1.0
0.0 1.0038468912 1.0
76.0 1.00681272758 1.0
object 12	1.0:1.0
192.0 2.5383999783 1.0
16.0 1.01480999166 1.0
175.0 -2.1175369564 1.0
182.0 6.15857030974 1.0
106.0 0.962071920486 1.0
21.0 1.00957964552 1.0
135.0 0.997462377258 1.0
91.0 0.99686156161 1.0
50.0 0.994307542275 1.0
61.0 1.0164827034 1.0
156.0 0.997087686512 1.0
75.0 1.00839919262 1.0
19.0 1.01131882292 1.0
3.0 1.05059199066 1.0
118.0 0.993512937321 1.0
166.0 -1.69471899123 1.0
122.0 1.01502733035 1.0
34.0 0.994295856604 1.0
38.0 1.00217840355 1.0
31.0 0.987459867383 1.0
30.0 0.944757225102 1.0
187.0 1.89546032038 1.0
43.0 0.944653772379 1.0
88.0 1.0011606776 1.0
183.0 -0.106116634076 1.0
151.0 1.01268019927 1.0
40.0 1.03624305883 1.0
152.0 0.98829319774 1.0
130.0 1.02436133897 1.0
48.0 0.98727097757 1.0
object 13	1.0:1.0
2.0 0.988912348715 1.0
41.0 0.991454564135 1.0
31.0 1.02274438861 1.0
184.0 -5.99159656303 1.0
46.0 0.985028653855 1.0
145.0 0.997702435493 1.0
132.0 0.991177472781 1.0
59.0 0.999389624049 1.0
22.0 0.948869642171 1.0
151.0 0.933948731541 1.0
112.0 0.987690189966 1.0
65.0 1.06422795021 1.0
69.0 0.9841566093 1.0
16.0 0.982004131383 1.0
18.0 0.997710108204 1.0
15.0 0.96594294312 1.0
58.0 0.993422486176 1.0
83.0 0.975556367252 1.0
9.0 0.994364883796 1.0
29.0 1.06833819406 1.0
131.0 0.938185794361 1.0
89.0 1.00670291006 1.0
180.0 0.509622231156 1.0
93.0 0.991743706093 1.0
object 14	1.0:1.0
10.0 0.980988722768 1.0
167.0 5.78576497445 1.0
100.0 1.08329322192 1.0
132.0 1.00234102002 1.0
194.0 1.33856830823 1.0
177.0 2.31963232943 1.0
81.0 1.03564329308 1.0
48.0 0.999235133419 1.0
169.0 -2.87619673002 1.0
0.0 0.961794794668 1.0
73.0 1.03693315613 1.0
84.0 1.02157167588 1.0
89.0 0.990772683077 1.0
18.0 0.957824185449 1.0
96.0 1.01049157637 1.0
34.0 1.01536850461 1.0
69.0 1.00304862443 1.0
136.0 0.984528808398 1.0
85.0 0.949110047032 1.0
138.0 1.0283884296 1.0
object 15	1.0:1.0
164.0 2.13740599574 1.0
117.0 1.0573673745 1.0
125.0 0.993547669119 1.0
32.0 0.97841901474 1.0
58.0 1.02598518116 1.0
151.0 0.988073394682 1.0
20.0 1.03015375023 1.0
129.0 0.968389726315 1.0
1.0 1.05247527365 1.0
147.0 0.98024169044 1.0
153.0 1.04829585948 1.0
27.0 1.00888608097 1.0
186.0 -12.1047553746 1.0
181.0 0.171826621963 1.0
41.0 1.02822772321 1.0
197.0 6.36709568555 1.0
object 16	1.0:1.0
109.0 1.00049834995 1.0
53.0 1.08440749576 1.0
141.0 1.01236216647 1.0
106.0 1.02207122628 1.0
156.0 0.983288248784 1.0
89.0 1.0424123975 1.0
174.0 2.58989337063 1.0
134.0 1.01749357624 1.0
157.0 0.985594148432 1.0
193.0 1.95756186799 1.0
54.0 1.01196200842 1.0
73.0 0.945230305345 1.0
32.0 1.00446550814 1.0
10.0 0.977365175689 1.0
171.0 3.23044759281 1.0
167.0 5.48103954526 1.0
145.0 0.969062016879 1.0
28.0 1.00324238622 1.0
17.0 0.985203416142 1.0
94.0 1.03580141829 1.0
29.0 1.03033951973 1.0
75.0 0.973985733392 1.0
101.0 1.02985364291 1.0
181.0 -0.957758204099 1.0
84.0 0.990964434374 1.0
object 17	1.0:1.0
131.0 1.05564292423 1.0
78.0 0.972317643371 1.0
155.0 1.02128158698 1.0
179.0 4.61448486368 1.0
91.0 1.01310879417 1.0
189.0 -0.25939686309 1.0
63.0 0.992522357761 1.0
72.0 0.987868069054 1.0
177.0 -2.76804111222 1.0
113.0 1.00141289621 1.0
143.0 0.996651637449 1.0
10.0 1.01173538842 1.0
40.0 0.999809436815 1.0
75.0 0.993053993992 1.0
